ID;Customer
0x014F;Nortek Security & Control LLC 
0x0150;SmartThings, Inc.
0x0151;Sercomm Corp
0x0152;UFairy G.R. Tech 
0x0153;Revolv Inc
0x0154;Popp & Co
0x0155;Avadesign Technology Co., Ltd.
0x0156;Vivint
0x0157;EcoNet Controls
0x0158;GuangZhou Zeewave Information Technology Co., Ltd.
0x0159;Goap
0x015A;Jin Tao Bao
0x015B;LG Electronics
0x015C;Reserved
0x015D;Willis Electric Co., Ltd.
0x015E;Locstar Technology Co., Ltd
0x015F;McoHome Technology Co., Ltd
0x0160;Essence Security
0x0161;Promixis, LLC
0x0162;HomeScenario
0x0163;Queenlock Ind. Co., Ltd.
0x0164;Reserved
0x0165;ID-RF
0x0166;CBCC Domotique SAS
0x0167;SecureNet Technologies
0x0168;STRATTEC Security Corporation
0x0169;B�nig und Kallenbach oHG
0x016A;Fantem
0x016B;Echostar
0x016C;Advanced Optronic Devices Co.,Ltd
0x016D;Guangzhou Ruixiang M&E Co., Ltd
0x016E;Nanjing Easthouse Electrical Co., Ltd.
0x016F;Zhejiang Jiuxing Electric Co Ltd
0x0170;Powerhouse Dynamics
0x0171;WeBeHome AB
0x0172;PassivSystems Limited
0x0173;Leak Intelligence, LLC
0x0174;Kopera Development Inc. 
0x0175;Devolo
0x0176;Telldus Technologies AB
0x0177;Reserved
0x0178;Nexia Home Intelligence
0x0179;ConnectHome
0x017A;Liveguard Ltd.
0x017B;Reserved
0x017C;EbV
0x017D;DRACOR Inc.
0x017E;Telular
0x017F;Wink Inc.
0x0180;Huapin Information Technology Co.,Ltd
0x0181;Holion Electronic Engineering Co., Ltd
0x0182;Securifi Ltd.
0x0183;Universe Future
0x0184;Dragon Tech Industrial, Ltd.
0x0185;Ningbo Sentek Electronics Co., Ltd
0x0186;Team Digital Limited
0x0187;Reserved
0x0188;Vipa-Star
0x0189;Ness Corporation Pty Ltd
0x018A;Globalchina-Tech
0x018B;Grib
0x018C;Dawon DNS
0x018D;Flextronics
0x018E;Climax Technology, Ltd.
0x018F;Focal Point Limited
0x0190;Building 36 Technologies
0x0191;Swann Communications Pty Ltd 
0x0192;m2m Solution
0x0193;Universal Devices, Inc
0x0194;Clare Controls
0x0195;M2M Solution
0x0196;Bellatrix Systems, Inc.
0x0197;RPE Ajax LLC (dbs Secur Ltd)
0x0198;Venstar Inc.
0x0199;Wireless Maingate AB
0x019A;Sensative AB
0x019B;ThermoFloor
0x019C;Amdocs
0x019D;MOBILUS MOTOR Sp�_ka z o.o. 
0x019E;Connectivity Solutions GmbH
0x019F;Webee Life
0x0200;Cloud Media
0x0201;Samsung Electronics Co., Ltd.
0x0202;Monoprice
0x0203;Newland Communication Science Technology Co., Ltd.
0x0204;Beijing Sino-American Boyi Software Development Co., Ltd
0x0205;Shanghai Longchuang Eco-energy Systems Co., Ltd
0x0206;Reserved
0x0207;Forest Group Nederland B.V
0x0208;HANK Electronics Ltd
0x0209;UTC Fire and Security Americas Corp
0x020A;Decoris Intelligent System Limited
0x020B;Embedded System Design Limited
0x020C;Dongguan Zhou Da Electronics Co.,Ltd
0x020D;Novateqni HK Ltd
0x020E;Domitech Products, LLC
0x020F;Herald Datanetics Limited
0x0210;Light Engine Limited
0x0211;Shenzhen Liao Wang Tong Da Technology Ltd
0x0212;iRevo
0x0213;BMS Evler LTD
0x0214;Kaipule Technology Co., Ltd.
0x0215;Shangdong Smart Life Data System Co.,Ltd
0x0216;RET Nanjing Intelligence System CO.,Ltd
0x0217;Strattec Advanced Logic,LLC
0x0218;iAutomade Pte Ltd
0x0219;Enwox Technologies s.r.o.
0x021A;SHENZHEN AOYA INDUSTRY CO. LTD
0x021B;ST&T Electric Corporation
0x021C;Shenzhen iSurpass Technology Co. ,Ltd
0x021D;Shenzhen Kaadas Intelligent Technology Co., Ltd
0x021E;Red Bee Co. Ltd
0x021F;Elexa Consumer Products Inc.
0x0220;Tyco (China) Investment Co., Ltd.
0x0221;HOSEOTELNET
0x0222;MCT CO., LTD
0x0223;DTV Research Unipessoal, Lda
0x0224;ADT 
0x0225;Reserved
0x0226;Reserved
0x0227;Reserved
0x0228;DigitalZone
0x0229;COMMAX
0x022A;TIMEVALVE, Inc.
0x022B;GKB Security Corporation
0x022C;Remote Solution
0x022D;Mercury Corporation
0x022E;Samsung SDS
0x022F;WRT Intelligent Technology CO., LTD.
0x0230;Alphonsus Tech
0x0231;ASITEQ
0x0232;MODACOM CO., LTD.
0x0233;eZEX Corporation
0x0234;Logic Group 
0x0235;TAEWON Lighting Co., Ltd.
0x0236;Bandi Comm Tech Inc.
0x0237;Vestel Elektronik Ticaret ve Sanayi A.S. 
0x0238;Milanity, Inc.
0x0239;Stelpro
0x023A;KUMHO ELECTRIC, INC
0x023B;ROC-Connect, Inc.
0x023C;SafeTech Products
0x023D;Honest Technology Co., Ltd.
0x023E;Shanghai Dorlink Intelligent Technologies Co.,Ltd
0x023F;Control4 Corporation
0x0240;Technicolor
0x0241;NEEO AG
0x0242;Winytechnology
0x0243;casenio AG
0x0244;Athom BV
0x0245;permundo GmbH
0x0246;CentraLite Systems, Inc
0x0247;EASY SAVER Co., Inc
0x0248;neusta next GmbH & Co. KG
0x0249;Inwido AB
0x024A;BTSTAR(HK) TECHNOLOGY COMPANY LIMITED
0x024B;Huawei Technologies Co., Ltd.
0x024C;Hankook Gas Kiki CO.,LTD. 
0x024D;Z-works Inc.
0x024E;zConnect
0x024F;Smartly AS
0x0250;Shenzhen Tripath Digital Audio Equipment Co.,Ltd
0x0251;Reserved
0x0251;Reserved
0x0252;North China University of Technology
0x0253;iungo.nl B.V.
0x0254;Reserved
0x0255;Remote Technologies Incorporated
0x0256;Inkel Corp.
0x0257;PARATECH
0x0258;Shenzhen Neo Electronics Co., Ltd
0x0259;Starkoff
0x025A;GES
0x025B;AdTrustMedia LLC  dba: eZLO
0x025C;Hauppauge
0x025D;Contec intelligent housing�
0x025E;LUXEASY�technology�company�LTD.
0x025F;Huawei Device Co., Ltd. 
0x0260;Shenzhen�Heiman Technology Co., Ltd
0x0261;KOOL KONCEPTS
0x0262;Taiwan Fu Hsing Industrial Co., Ltd.
0x0263;Viva Labs AS
0x0264;Taiwan iCATCH Inc.
0x0265;StarVedia
0x0266;Siterwell Technology HK Co., LTD 
0x0267;SimonTech S.L.U
0x0268;Nexa Trading AB
0x0269;WOOREE Lighting Co.,Ltd.
0x026A;SmartAll Inc.
0x026B;Ei Electronics 
0x026C;Westcontrol AS
0x026D;Antik Technology Ltd.
0x026E;Springs Window Fashions
0x026F;Sprue Safety Products Ltd
0x0270;Ubitech
0x0271;STEINEL GmbH 
0x0272;Dune-HD
0x0273;LG Innotek
0x0274;Soosan Hometech
0x0275;Honest Technology
0x0276;Systemair Sverige AB
0x0277;Pixela Corporation 
0x0278;Inventec
0x0279;Reserved
0x027A;Zooz
0x027B;White Rabbit
0x027C;Reserved
0x027D;Oregon Automation 
0x027E;Nokia (Alcatel-Lucent USA Inc.)
0x027F;Reserved
0x0280;Chuango Security Technology Corporation
0x0281;PC Partner
